SA2_MAINCODE_2016	SA2_NAME_2016	PHN_CODE_2017	PHN_NAME_2017	RATIO	PERCENTAGE
402051053	Modbury Heights	PHN401	Adelaide	1	100
402051054	Redwood Park	PHN401	Adelaide	1	100
402051055	St Agnes - Ridgehaven	PHN401	Adelaide	1	100
403011056	Brighton (SA)	PHN401	Adelaide	1	100
403011057	Glenelg (SA)	PHN401	Adelaide	1	100
403021058	Edwardstown	PHN401	Adelaide	1	100
403021059	Hallett Cove	PHN401	Adelaide	1	100
403021060	Marino - Seaview Downs	PHN401	Adelaide	1	100
403021061	Mitchell Park	PHN401	Adelaide	1	100
403021062	Morphettville	PHN401	Adelaide	1	100
403021063	Sheidow Park - Trott Park	PHN401	Adelaide	1	100
403021064	Warradale	PHN401	Adelaide	1	100
403031065	Belair	PHN401	Adelaide	1	100
403031066	Bellevue Heights	PHN401	Adelaide	1	100
403031067	Blackwood	PHN401	Adelaide	1	100
403031068	Colonel Light Gardens	PHN401	Adelaide	1	100
403031069	Mitcham (SA)	PHN401	Adelaide	1	100
403031070	Panorama	PHN401	Adelaide	1	100
403041071	Aberfoyle Park	PHN401	Adelaide	1	100
403041072	Aldinga	PHN401	Adelaide	1	100
403041073	Christie Downs	PHN401	Adelaide	1	100
403041074	Christies Beach	PHN401	Adelaide	1	100
403041075	Clarendon	PHN401	Adelaide	1	100
403041076	Coromandel Valley	PHN401	Adelaide	1	100
403041077	Flagstaff Hill	PHN401	Adelaide	1	100
403041078	Hackham - Onkaparinga Hills	PHN401	Adelaide	1	100
403041079	Hackham West - Huntfield Heights	PHN401	Adelaide	1	100
403041080	Happy Valley	PHN401	Adelaide	1	100
403041081	Happy Valley Reservoir	PHN401	Adelaide	1	100
403041082	Lonsdale	PHN401	Adelaide	1	100
403041083	McLaren Vale	PHN401	Adelaide	1	100
403041084	Morphett Vale - East	PHN401	Adelaide	1	100
403041085	Morphett Vale - West	PHN401	Adelaide	1	100
403041086	Reynella	PHN401	Adelaide	1	100
403041087	Seaford (SA)	PHN401	Adelaide	1	100
403041088	Willunga	PHN401	Adelaide	1	100
403041089	Woodcroft	PHN401	Adelaide	1	100
404011090	Beverley	PHN401	Adelaide	1	100
404011091	Flinders Park	PHN401	Adelaide	1	100
404011092	Henley Beach	PHN401	Adelaide	1	100
404011093	Hindmarsh - Brompton	PHN401	Adelaide	1	100
404011094	Royal Park - Hendon - Albert Park	PHN401	Adelaide	1	100
404011095	Seaton - Grange	PHN401	Adelaide	1	100
404011096	West Lakes	PHN401	Adelaide	1	100
404011097	Woodville - Cheltenham	PHN401	Adelaide	1	100
404021098	Dry Creek - South	PHN401	Adelaide	1	100
404021099	Largs Bay - Semaphore	PHN401	Adelaide	1	100
404021100	North Haven	PHN401	Adelaide	1	100
404021101	Port Adelaide	PHN401	Adelaide	1	100
404021102	The Parks	PHN401	Adelaide	1	100
404021103	Torrens Island	PHN401	Adelaide	1	100
404031104	Adelaide Airport	PHN401	Adelaide	1	100
404031105	Fulham	PHN401	Adelaide	1	100
404031106	Lockleys	PHN401	Adelaide	1	100
404031107	Plympton	PHN401	Adelaide	1	100
404031108	Richmond (SA)	PHN401	Adelaide	1	100
404031109	West Beach	PHN401	Adelaide	1	100
405011110	Barossa - Angaston	PHN402	Country SA	1	100
405011111	Light	PHN402	Country SA	1	100
405011112	Lyndoch	PHN402	Country SA	1	100
405011113	Mallala	PHN402	Country SA	1	100
405011114	Nuriootpa	PHN402	Country SA	1	100
405011115	Tanunda	PHN402	Country SA	1	100
405021116	Clare	PHN402	Country SA	1	100
405021117	Gilbert Valley	PHN402	Country SA	1	100
405021118	Goyder	PHN402	Country SA	1	100
405021119	Wakefield - Barunga West	PHN402	Country SA	1	100
405031120	Jamestown	PHN402	Country SA	1	100
405031121	Peterborough - Mount Remarkable	PHN402	Country SA	1	100
405031122	Port Pirie	PHN402	Country SA	1	100
405031123	Port Pirie Region	PHN402	Country SA	1	100
405041124	Kadina	PHN402	Country SA	1	100
405041125	Moonta	PHN402	Country SA	1	100
405041126	Wallaroo	PHN402	Country SA	1	100
405041127	Yorke Peninsula - North	PHN402	Country SA	1	100
405041128	Yorke Peninsula - South	PHN402	Country SA	1	100
406011129	Ceduna	PHN402	Country SA	1	100
406011130	Eyre Peninsula	PHN402	Country SA	1	100
406011131	Kimba - Cleve - Franklin Harbour	PHN402	Country SA	1	100
406011132	Le Hunte - Elliston	PHN402	Country SA	1	100
406011133	Port Lincoln	PHN402	Country SA	1	100
406011134	West Coast (SA)	PHN402	Country SA	1	100
406011135	Western	PHN402	Country SA	1	100
406011136	Whyalla	PHN402	Country SA	1	100
406011137	Whyalla - North	PHN402	Country SA	1	100
406021138	APY Lands	PHN402	Country SA	1	100
406021139	Coober Pedy	PHN402	Country SA	1	100
406021140	Quorn - Lake Gilles	PHN402	Country SA	1	100
406021141	Outback	PHN402	Country SA	1	100
406021142	Port Augusta	PHN402	Country SA	1	100
406021143	Roxby Downs	PHN402	Country SA	1	100
407011144	Goolwa - Port Elliot	PHN402	Country SA	1	100
407011145	Kangaroo Island	PHN402	Country SA	1	100
407011146	Strathalbyn	PHN402	Country SA	1	100
407011147	Strathalbyn Region	PHN402	Country SA	1	100
407011148	Victor Harbor	PHN402	Country SA	1	100
407011149	Yankalilla	PHN402	Country SA	1	99.9999998
407021150	Grant	PHN402	Country SA	1	100
407021151	Kingston - Robe	PHN402	Country SA	1	100
407021152	Millicent	PHN402	Country SA	1	100
407021154	Naracoorte	PHN402	Country SA	1	100
407021155	Naracoorte Region	PHN402	Country SA	1	100
407021156	Penola	PHN402	Country SA	1	100
407021157	Tatiara	PHN402	Country SA	1	100
407021158	Wattle Range	PHN402	Country SA	1	100
407021173	Mount Gambier - East	PHN402	Country SA	1	100
407021174	Mount Gambier - West	PHN402	Country SA	1	100
407031159	Barmera	PHN402	Country SA	1	100
407031160	Berri	PHN402	Country SA	1	100
407031161	Karoonda - Lameroo	PHN402	Country SA	1	100
407031162	Loxton	PHN402	Country SA	1	100
407031163	Loxton Region	PHN402	Country SA	1	100
407031164	Mannum	PHN402	Country SA	1	100
407031165	Murray Bridge	PHN402	Country SA	1	100
407031166	Murray Bridge Region	PHN402	Country SA	1	100
407031167	Renmark	PHN402	Country SA	1	100
407031168	Renmark Region	PHN402	Country SA	1	100
407031169	The Coorong	PHN402	Country SA	1	100
407031170	Waikerie	PHN402	Country SA	1	100
501011001	Augusta	PHN503	Country WA	1	100
501011002	Busselton	PHN503	Country WA	1	100
501011003	Busselton Region	PHN503	Country WA	1	100
501011004	Margaret River	PHN503	Country WA	1	100
501021005	Australind - Leschenault	PHN503	Country WA	1	100
501021007	Capel	PHN503	Country WA	1	100
501021008	College Grove - Carey Park	PHN503	Country WA	1	100
501021009	Collie	PHN503	Country WA	1	100
501021010	Dardanup	PHN503	Country WA	1	100
501021011	Davenport	PHN503	Country WA	1	100
501021012	Eaton - Pelican Point	PHN503	Country WA	1	100
501021014	Harvey	PHN503	Country WA	1	100
501021015	East Bunbury - Glen Iris	PHN503	Country WA	1	100
501021016	Waroona	PHN502	Perth South	1	100
501021251	Dalyellup	PHN503	Country WA	1	100
501021252	Gelorup - Stratham	PHN503	Country WA	1	100
501021253	South Bunbury - Bunbury	PHN503	Country WA	1	100
501021254	Withers - Usher	PHN503	Country WA	1	100
501031017	Bridgetown - Boyup Brook	PHN503	Country WA	1	100
501031018	Donnybrook - Balingup	PHN503	Country WA	1	100
501031019	Manjimup	PHN503	Country WA	1	100
501031020	Pemberton	PHN503	Country WA	1	100
502011021	Dawesville - Bouvard	PHN502	Perth South	1	100
502011022	Falcon - Wannanup	PHN502	Perth South	1	100
502011023	Greenfields	PHN502	Perth South	1	100
502011024	Halls Head - Erskine	PHN502	Perth South	1	100
