SA2_MAINCODE_2016	SA2_NAME_2016	PHN_CODE_2017	PHN_NAME_2017	RATIO	PERCENTAGE
601031017	Glenorchy	PHN601	Tasmania	1	100
601031018	Montrose - Rosetta	PHN601	Tasmania	1	100
601031019	Moonah	PHN601	Tasmania	1	100
601031020	New Norfolk	PHN601	Tasmania	1	100
601031021	West Moonah	PHN601	Tasmania	1	100
601041022	Kingston - Huntingfield	PHN601	Tasmania	1	100
601041023	Kingston Beach - Blackmans Bay	PHN601	Tasmania	1	100
601041024	Margate - Snug	PHN601	Tasmania	1	100
601041025	Mount Wellington	PHN601	Tasmania	1	100
601041026	Taroona - Bonnet Hill	PHN601	Tasmania	1	100
601051027	Hobart	PHN601	Tasmania	1	100
601051028	Lenah Valley - Mount Stuart	PHN601	Tasmania	1	100
601051029	Mount Nelson - Dynnyrne	PHN601	Tasmania	1	100
601051030	New Town	PHN601	Tasmania	1	100
601051031	Sandy Bay	PHN601	Tasmania	1	100
601051032	South Hobart - Fern Tree	PHN601	Tasmania	1	100
601051033	West Hobart	PHN601	Tasmania	1	100
601061034	Dodges Ferry - Lewisham	PHN601	Tasmania	1	100
601061035	Sorell - Richmond	PHN601	Tasmania	1	100
602011036	Invermay	PHN601	Tasmania	1	100
602011037	Kings Meadows - Punchbowl	PHN601	Tasmania	1	100
602011038	Launceston	PHN601	Tasmania	1	100
602011039	Legana	PHN601	Tasmania	1	100
602011040	Mowbray	PHN601	Tasmania	1	100
602011041	Newnham - Mayfield	PHN601	Tasmania	1	100
602011042	Newstead	PHN601	Tasmania	1	100
602011043	Norwood (Tas.)	PHN601	Tasmania	1	100
602011044	Prospect Vale - Blackstone	PHN601	Tasmania	1	100
602011045	Ravenswood	PHN601	Tasmania	1	100
602011046	Riverside	PHN601	Tasmania	1	100
602011047	South Launceston	PHN601	Tasmania	1	100
602011048	Summerhill - Prospect	PHN601	Tasmania	1	100
602011049	Trevallyn	PHN601	Tasmania	1	100
